current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,execute_phase,internal_references_impacted
dji-air-series,dji-air-series,/pages/dji-air-series,/pages/dji-air-series,NO,NO,DJI Air-serien,SKIP,
samarbeta-with-actionking,(exclude),/pages/samarbeta-with-actionking,(exclude),EXCLUDE,LEGACY,Samarbeta med ActionKing,EXCLUDE,
goulet-ul-gear,goulet-ul-gear,/pages/goulet-ul-gear,/pages/goulet-ul-gear,NO,NO,Goulet UL Gear,SKIP,
gunter-andreasson-ultracyklist,gunter-andreasson-ultracyklist,/pages/gunter-andreasson-ultracyklist,/pages/gunter-andreasson-ultracyklist,NO,NO,"Günter Andréasson – Ultracyklist, äventyrare och inspiratör",SKIP,
samarbeta-with-oss,partner-with-us,/pages/samarbeta-with-oss,/pages/partner-with-us,YES,YES,Samarbeta med oss,4,
we-buy-drones-actionking,(exclude),/pages/we-buy-drones-actionking,(exclude),EXCLUDE,LEGACY,"Vi köper din drönare – Snabbt, enkelt och tryggt",EXCLUDE,
dji-neo-faq,dji-neo-faq,/pages/dji-neo-faq,/pages/dji-neo-faq,NO,NO,DJI Neo Frågor och svar FAQ,SKIP,
feedback,feedback,/pages/feedback,/pages/feedback,NO,NO,Feedback,SKIP,
kablar,cables,/pages/kablar,/pages/cables,YES,YES,Kablar,4,
ljud,audio,/pages/ljud,/pages/audio,YES,YES,Ljud,4,
memory-card-storage,memory-card-storage,/pages/memory-card-storage,/pages/memory-card-storage,NO,NO,Minneskort & Lagring,SKIP,
faq-motorola-t82-extreme,faq-motorola-t82-extreme,/pages/faq-motorola-t82-extreme,/pages/faq-motorola-t82-extreme,NO,NO,Motorola T82 Extreme Frågor och Svar FAQ,SKIP,
dji-flip,dji-flip,/pages/dji-flip,/pages/dji-flip,NO,NO,DJI Flip,SKIP,
dji-mavic-3-classic,dji-mavic-3-classic,/pages/dji-mavic-3-classic,/pages/dji-mavic-3-classic,NO,NO,DJI Mavic 3 Classic,SKIP,
cookies-actionking,(exclude),/pages/cookies-actionking,(exclude),EXCLUDE,LEGACY,Cookies hos ActionKing,EXCLUDE,
basta-myggskyddet,best-mosquito-repellent,/pages/basta-myggskyddet,/pages/best-mosquito-repellent,YES,YES,Bästa myggskyddet,4,
all-products-actionking,(exclude),/pages/all-products-actionking,(exclude),EXCLUDE,LEGACY,Alla produkter,EXCLUDE,
_test-deploy-delete-me,(exclude),/pages/_test-deploy-delete-me,(exclude),EXCLUDE,LEGACY,TEST DELETE,EXCLUDE,
service-support,service-support,/pages/service-support,/pages/service-support,NO,NO,Service & Support,SKIP,service-support-deploy → Service & Support
dji-service,dji-service,/pages/dji-service,/pages/dji-service,NO,NO,DJI Service,SKIP,service-support-deploy → :[];DJI Service
dji-enterprise-service,dji-enterprise-service,/pages/dji-enterprise-service,/pages/dji-enterprise-service,NO,NO,Enterprise Service,SKIP,service-support-deploy → :[]];Enterprise Service
flycart-service,flycart-service,/pages/flycart-service,/pages/flycart-service,NO,NO,FlyCart Service,SKIP,service-support-deploy → :[];FlyCart Service
matrice-service,matrice-service,/pages/matrice-service,/pages/matrice-service,NO,NO,Matrice Service,SKIP,service-support-deploy → :[];Matrice Service
troubleshooting,troubleshooting,/pages/troubleshooting,/pages/troubleshooting,NO,NO,Felsökning,SKIP,
repair,repairs,/pages/repair,/pages/repairs,YES,YES,Reparation,4,
calibration,calibration,/pages/calibration,/pages/calibration,NO,NO,Kalibrering,SKIP,
battery-test,battery-test,/pages/battery-test,/pages/battery-test,NO,NO,Batteritest,SKIP,
firmware-update,firmware-update,/pages/firmware-update,/pages/firmware-update,NO,NO,Firmwareuppdatering,SKIP,
warranty-management,warranty-management,/pages/warranty-management,/pages/warranty-management,NO,NO,Garantihantering,SKIP,
rma,rma,/pages/rma,/pages/rma,NO,NO,RMA,SKIP,service-support-deploy → :[];RMA
service-request,service-request,/pages/service-request,/pages/service-request,NO,NO,Serviceanmälan,SKIP,
support,support,/pages/support,/pages/support,NO,NO,Support,SKIP,service-support-deploy → :[];Support
enterprise-account,business-account,/pages/enterprise-account,/pages/business-account,YES,YES,Företagskonto,4,
quote-request,request-a-quote,/pages/quote-request,/pages/request-a-quote,YES,YES,Offertförfrågan,4,
leasing,leasing,/pages/leasing,/pages/leasing,NO,NO,Leasing,SKIP,b2b-enterprise-deploy → :[];Leasing
financing,financing,/pages/financing,/pages/financing,NO,NO,Finansiering,SKIP,
service-agreement,service-agreement,/pages/service-agreement,/pages/service-agreement,NO,NO,Serviceavtal,SKIP,
